value_wrist,value_elbow,timestamp
809.0,0.0,12:08:13.758334
809.0,0.0,12:08:13.759511
809.0,0.0,12:08:13.760686
809.0,0.0,12:08:13.761862
809.0,0.0,12:08:13.763030
809.0,0.0,12:08:13.764212
809.0,0.0,12:08:13.765390
809.0,0.0,12:08:13.766585
809.0,0.0,12:08:13.767769
809.0,0.0,12:08:13.768946
809.0,0.0,12:08:13.770126
809.0,0.0,12:08:13.771303
809.0,0.0,12:08:13.772480
809.0,0.0,12:08:13.773659
809.0,0.0,12:08:13.774833
809.0,0.0,12:08:13.776026
809.0,0.0,12:08:13.777208
809.0,0.0,12:08:13.778385
809.0,0.0,12:08:13.779563
809.0,0.0,12:08:13.780740
809.0,0.0,12:08:13.781918
809.0,0.0,12:08:13.783095
809.0,0.0,12:08:13.784275
809.0,0.0,12:08:13.785454
809.0,0.0,12:08:13.786642
809.0,0.0,12:08:13.787823
809.0,0.0,12:08:13.789001
809.0,0.0,12:08:13.790179
809.0,0.0,12:08:13.791358
809.0,0.0,12:08:13.792536
809.0,0.0,12:08:13.793712
809.0,0.0,12:08:13.794890
809.0,0.0,12:08:13.796203
809.0,0.0,12:08:13.797384
809.0,0.0,12:08:13.798560
809.0,0.0,12:08:13.799738
809.0,0.0,12:08:13.800918
809.0,0.0,12:08:13.802094
809.0,0.0,12:08:13.803271
809.0,0.0,12:08:13.804450
809.0,0.0,12:08:13.805664
809.0,0.0,12:08:13.806854
809.0,0.0,12:08:13.808035
809.0,0.0,12:08:13.809219
809.0,0.0,12:08:13.810400
809.0,0.0,12:08:13.811578
809.0,0.0,12:08:13.812760
809.0,0.0,12:08:13.813930
809.0,0.0,12:08:13.815106
809.0,0.0,12:08:13.816301
809.0,0.0,12:08:13.817483
809.0,0.0,12:08:13.818663
809.0,0.0,12:08:13.819844
809.0,0.0,12:08:13.821020
809.0,0.0,12:08:13.822196
809.0,0.0,12:08:13.823370
809.0,0.0,12:08:13.824544
809.0,0.0,12:08:13.825793
809.0,0.0,12:08:13.826987
809.0,0.0,12:08:13.828166
809.0,0.0,12:08:13.829342
809.0,0.0,12:08:13.830520
809.0,0.0,12:08:13.831690
809.0,0.0,12:08:13.832867
809.0,0.0,12:08:13.834044
809.0,0.0,12:08:13.835221
809.0,0.0,12:08:13.836514
809.0,0.0,12:08:13.837700
809.0,0.0,12:08:13.838882
809.0,0.0,12:08:13.840059
809.0,0.0,12:08:13.841237
809.0,0.0,12:08:13.842412
809.0,0.0,12:08:13.843588
809.0,0.0,12:08:13.844769
809.0,0.0,12:08:13.845962
809.0,0.0,12:08:13.847145
809.0,0.0,12:08:13.848327
809.0,0.0,12:08:13.849507
809.0,0.0,12:08:13.850682
809.0,0.0,12:08:13.851856
809.0,0.0,12:08:13.853034
809.0,0.0,12:08:13.854211
809.0,0.0,12:08:13.855390
809.0,0.0,12:08:13.856589
809.0,0.0,12:08:13.857774
809.0,0.0,12:08:13.858950
809.0,0.0,12:08:13.860126
809.0,0.0,12:08:13.861304
809.0,0.0,12:08:13.862483
809.0,0.0,12:08:13.863665
809.0,0.0,12:08:13.864844
809.0,0.0,12:08:13.866037
809.0,0.0,12:08:13.867221
809.0,0.0,12:08:13.868399
809.0,0.0,12:08:13.869577
809.0,0.0,12:08:13.870755
809.0,0.0,12:08:13.871935
809.0,0.0,12:08:13.873116
809.0,0.0,12:08:13.874293
809.0,0.0,12:08:13.875470
809.0,0.0,12:08:13.876663
809.0,0.0,12:08:13.877844
809.0,0.0,12:08:13.879025
809.0,0.0,12:08:13.880206
809.0,0.0,12:08:13.881387
809.0,0.0,12:08:13.882569
809.0,0.0,12:08:13.883747
809.0,0.0,12:08:13.884924
809.0,0.0,12:08:13.886135
809.0,0.0,12:08:13.887321
809.0,0.0,12:08:13.888502
809.0,0.0,12:08:13.889681
809.0,0.0,12:08:13.890862
809.0,0.0,12:08:13.892041
809.0,0.0,12:08:13.893218
809.0,0.0,12:08:13.894395
809.0,0.0,12:08:13.895690
809.0,0.0,12:08:13.896884
809.0,0.0,12:08:13.898068
809.0,0.0,12:08:13.899250
809.0,0.0,12:08:13.900431
809.0,0.0,12:08:13.901615
809.0,0.0,12:08:13.902828
809.0,0.0,12:08:13.904016
809.0,0.0,12:08:13.905195
809.0,0.0,12:08:13.906419
809.0,0.0,12:08:13.907607
809.0,0.0,12:08:13.908789
809.0,0.0,12:08:13.909972
809.0,0.0,12:08:13.911152
809.0,0.0,12:08:13.912335
809.0,0.0,12:08:13.913513
809.0,0.0,12:08:13.914696
809.0,0.0,12:08:13.915942
809.0,0.0,12:08:13.917130
809.0,0.0,12:08:13.918313
809.0,0.0,12:08:13.919497
809.0,0.0,12:08:13.920681
809.0,0.0,12:08:13.921862
809.0,0.0,12:08:13.923044
809.0,0.0,12:08:13.924228
809.0,0.0,12:08:13.925409
809.0,0.0,12:08:13.926606
809.0,0.0,12:08:13.927789
809.0,0.0,12:08:13.928967
809.0,0.0,12:08:13.930147
809.0,0.0,12:08:13.931329
809.0,0.0,12:08:13.932510
809.0,0.0,12:08:13.933691
809.0,0.0,12:08:13.934874
809.0,0.0,12:08:13.936158
809.0,0.0,12:08:13.937342
809.0,0.0,12:08:13.938522
809.0,0.0,12:08:13.939700
809.0,0.0,12:08:13.940879
809.0,0.0,12:08:13.942062
809.0,0.0,12:08:13.943244
809.0,0.0,12:08:13.944426
809.0,0.0,12:08:13.945644
809.0,0.0,12:08:13.946834
809.0,0.0,12:08:13.948016
809.0,0.0,12:08:13.949198
809.0,0.0,12:08:13.950377
809.0,0.0,12:08:13.951558
809.0,0.0,12:08:13.952738
809.0,0.0,12:08:13.953916
809.0,0.0,12:08:13.955095
809.0,0.0,12:08:13.956293
809.0,0.0,12:08:13.957476
809.0,0.0,12:08:13.958654
809.0,0.0,12:08:13.959833
809.0,0.0,12:08:13.961013
809.0,0.0,12:08:13.962196
809.0,0.0,12:08:13.963377
809.0,0.0,12:08:13.964555
809.0,0.0,12:08:13.965794
809.0,0.0,12:08:13.966985
809.0,0.0,12:08:13.968168
809.0,0.0,12:08:13.969353
809.0,0.0,12:08:13.970534
809.0,0.0,12:08:13.971715
809.0,0.0,12:08:13.972893
809.0,0.0,12:08:13.974068
809.0,0.0,12:08:13.975243
809.0,0.0,12:08:13.976548
809.0,0.0,12:08:13.977734
809.0,0.0,12:08:13.978918
809.0,0.0,12:08:13.980100
809.0,0.0,12:08:13.981282
809.0,0.0,12:08:13.982458
809.0,0.0,12:08:13.983636
809.0,0.0,12:08:13.984815
809.0,0.0,12:08:13.986011
809.0,0.0,12:08:13.987200
809.0,0.0,12:08:13.988385
809.0,0.0,12:08:13.989568
809.0,0.0,12:08:13.990746
809.0,0.0,12:08:13.991925
809.0,0.0,12:08:13.993105
809.0,0.0,12:08:13.994282
809.0,0.0,12:08:13.995460
809.0,0.0,12:08:13.996663
809.0,0.0,12:08:13.997854
809.0,0.0,12:08:13.999039
809.0,0.0,12:08:14.000217
809.0,0.0,12:08:14.001399
809.0,0.0,12:08:14.002583
809.0,0.0,12:08:14.003767
809.0,0.0,12:08:14.004952
809.0,0.0,12:08:14.006169
809.0,0.0,12:08:14.007355
809.0,0.0,12:08:14.008536
809.0,0.0,12:08:14.009716
809.0,0.0,12:08:14.010898
809.0,0.0,12:08:14.012079
809.0,0.0,12:08:14.013260
809.0,0.0,12:08:14.014446
809.0,0.0,12:08:14.015724
809.0,0.0,12:08:14.016917
809.0,0.0,12:08:14.018097
809.0,0.0,12:08:14.019280
809.0,0.0,12:08:14.020459
809.0,0.0,12:08:14.021635
809.0,0.0,12:08:14.022817
809.0,0.0,12:08:14.024000
