value_wrist,value_elbow,timestamp
0.0,140.0,00:11:26.886413
0.0,142.0,00:11:26.923632
0.0,143.0,00:11:26.959333
0.0,144.0,00:11:26.995338
0.0,145.0,00:11:27.032316
0.0,146.0,00:11:27.068191
0.0,146.0,00:11:27.104485
0.0,146.5,00:11:27.140986
0.0,146.5,00:11:27.176816
0.0,146.5,00:11:27.241098
0.0,146.5,00:11:27.276865
0.0,146.5,00:11:27.313181
0.0,146.5,00:11:27.349066
0.0,146.5,00:11:27.385011
0.0,146.5,00:11:27.422181
0.0,146.5,00:11:27.458138
0.0,146.5,00:11:27.493924
0.0,146.5,00:11:27.531000
0.0,146.5,00:11:27.566760
0.0,146.5,00:11:27.602669
0.0,146.5,00:11:27.639448
0.0,146.0,00:11:27.675489
0.0,146.0,00:11:27.711631
0.0,146.0,00:11:27.748137
0.0,146.0,00:11:27.783957
0.0,146.0,00:11:27.820095
0.0,145.5,00:11:27.855892
0.0,144.5,00:11:27.891749
0.0,143.0,00:11:27.929194
0.0,141.0,00:11:27.965501
0.0,139.0,00:11:28.001493
0.0,137.0,00:11:28.038395
0.0,134.0,00:11:28.074397
0.0,131.0,00:11:28.119914
0.0,128.0,00:11:28.155743
0.0,125.0,00:11:28.192332
0.0,122.0,00:11:28.230202
0.0,119.5,00:11:28.266048
0.0,117.0,00:11:28.302026
0.0,113.5,00:11:28.343640
0.0,111.0,00:11:28.379591
0.0,108.5,00:11:28.415450
0.0,106.0,00:11:28.452064
0.0,103.5,00:11:28.487805
0.0,101.0,00:11:28.524322
0.0,99.0,00:11:28.560429
0.0,97.0,00:11:28.596283
0.0,94.5,00:11:28.634152
0.0,92.5,00:11:28.670481
0.0,89.5,00:11:28.723018
0.0,86.0,00:11:28.782855
0.0,83.0,00:11:28.840637
0.0,81.0,00:11:28.887950
0.0,78.0,00:11:28.947233
0.0,76.0,00:11:28.989279
0.0,74.0,00:11:29.025272
0.0,72.5,00:11:29.062132
0.0,70.5,00:11:29.098287
0.0,69.0,00:11:29.135804
0.0,67.0,00:11:29.171703
0.0,66.0,00:11:29.207970
0.0,64.0,00:11:29.244720
0.0,62.5,00:11:29.280645
0.0,61.0,00:11:29.318265
0.0,59.5,00:11:29.354195
0.0,58.0,00:11:29.390598
0.0,56.0,00:11:29.426500
0.0,55.0,00:11:29.462776
0.0,53.0,00:11:29.498720
0.0,52.0,00:11:29.535821
0.0,50.0,00:11:29.571796
0.0,49.0,00:11:29.607615
0.0,47.0,00:11:29.644178
0.0,46.0,00:11:29.681649
0.0,44.5,00:11:29.717543
0.0,43.0,00:11:29.754016
0.0,41.5,00:11:29.790116
0.0,40.0,00:11:29.826025
0.0,38.5,00:11:29.862444
0.0,37.0,00:11:29.898294
0.0,35.5,00:11:29.934655
0.0,34.0,00:11:29.970640
0.0,32.0,00:11:30.008086
0.0,30.5,00:11:30.045201
0.0,29.0,00:11:30.081787
0.0,27.0,00:11:30.118316
0.0,26.0,00:11:30.154253
0.0,24.0,00:11:30.197466
0.0,22.0,00:11:30.233682
0.0,20.0,00:11:30.269628
0.0,19.0,00:11:30.305704
0.0,17.0,00:11:30.343202
0.0,15.5,00:11:30.379389
0.0,14.0,00:11:30.415254
0.0,12.5,00:11:30.452538
0.0,11.0,00:11:30.488199
0.0,10.0,00:11:30.524216
0.0,9.0,00:11:30.560157
0.0,8.0,00:11:30.596031
0.0,7.5,00:11:30.632862
0.0,7.0,00:11:30.668905
0.0,7.0,00:11:30.705715
0.0,7.0,00:11:30.742727
0.0,7.0,00:11:30.778587
0.0,7.0,00:11:30.814483
0.0,7.0,00:11:30.851418
0.0,7.0,00:11:30.887326
0.0,7.0,00:11:30.923677
0.0,7.0,00:11:30.959719
0.0,7.0,00:11:30.995933
0.0,7.0,00:11:31.032193
0.0,7.0,00:11:31.068104
0.0,7.0,00:11:31.104308
0.0,7.0,00:11:31.140722
0.0,7.0,00:11:31.176445
0.0,7.0,00:11:31.212708
0.0,7.0,00:11:31.249409
0.0,7.0,00:11:31.285364
0.0,7.0,00:11:31.322489
0.0,7.0,00:11:31.359050
0.0,7.0,00:11:31.396154
0.0,7.0,00:11:31.432908
0.0,7.0,00:11:31.468799
0.0,7.0,00:11:31.507161
